9311111SHOULD NOT PRINT 1            MLM511834000000
9312344RYAN ANDREW                   MLM511834000000
9313456O'BRIEN OSCAR JOHN            MLM511834000000
9314567MURPHY VIOLET                 FLM511834000000
9315555I'VE PAID SOME 1              MLM511834100000
9315678ANDREWS BRITANNY ANN          FLM511834000000
9316789BRICE ROBERT JOHN             MLM511834000000
9322222SHOULD NOT PRINT 2            FLM511834000000
9323456ZIMMER JOHN PETER             MLM511834000000
9324567O'CONNOR RUPERT               MLM511834000000
9325555I'VE PAID SOME 2              MLM511834080050
9325678GLASS ROLLY                   MLM511834000000
9326789GLASS SHELLY                  FLM511834000000
9333333SHOULD NOT PRINT 3            MLM511834000000
9334567WINSTON FREDERICK             MLM511834000000
9335555I'VE PAID SOME 3              MLM511834075075
9335678WONDERFUL MISTER              MLM511834000000
9336789TULLY MARY                    FLM511834000000
9344444SHOULD NOT PRINT 4            MLM511834000000
9345678O'BRIEN RUTH                  FLM511834000000
9346666I'VE PAID SOME 4              MLM511834002525
9346789O'MALLEY REWTHAN              FLM511834000000
9355555SHOULD NOT PRINT 5            MLM511834000000
9356789O'SULLIVAN PATRICK            MLM511834000000
