9311111SHOULD NOT PRINT 1            MLM511834183400
9312344RYAN ANDREW                   MLM511834040000
9313456O'BRIEN OSCAR JOHN            MLM511834020000
9314567MURPHY VIOLET                 FLM511834010000
9315555I'VE PAID SOME 1              MLM511834183350
9315678ANDREWS BRITANNY ANN          FLM511834040050
9316789BRICE ROBERT JOHN             MLM511834035075
9322222SHOULD NOT PRINT 2            FLM511834183400
9323456ZIMMER JOHN PETER             MLM511834100000
9324567O'CONNOR RUPERT               MLM511834010000
9325555I'VE PAID SOME 2              MLM511834180050
9325678GLASS ROLLY                   MLM511834001000
9326789GLASS SHELLY                  FLM511834020000
9333333SHOULD NOT PRINT 3            MLM511834183400
9334567WINSTON FREDERICK             MLM511834002000
9335555I'VE PAID SOME 3              MLM511834100100
9335678WONDERFUL MISTER              MLM511834070000
9336789TULLY MARY                    FLM511834007000
9344444SHOULD NOT PRINT 4            MLM511834183400
9345678O'BRIEN RUTH                  FLM511834000000
9346666I'VE PAID SOME 4              MLM511834052575
9346789O'MALLEY REWTHAN              FLM511834022222
9355555SHOULD NOT PRINT 5            MLM511834183400
9356789O'SULLIVAN PATRICK            MLM511834033333
